透指,0.830233401,,,,,,,,,,,
理燃,0.791156439,,,,,,,,,,,
TT 顶温,0.676217034,,,,,,,,,,,
O2,0.637419416,,,,,,,,,,,
O2_FYL,0.625361409,,,,,,,,,,,
EK炉顶温度,0.624240849,,,,,,,,,,,
压差,0.571591963,,,,,,,,,,,
风温,0.561769231,,,,,,,,,,,
风量Nm3/h,0.529043193,,,,,,,,,,,
风压kPa,0.526617976,,,,,,,,,,,
顶压,0.514439357,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
