,0
0,0.5290431931672106
1,0.52661797592777
2,0.5144393571366043
3,0.5715919633859462
4,0.8302334014895183
5,0.5617692311426161
6,0.6242408494870916
7,0.6374194159067181
8,0.6253614091715725
9,0.79115643927374
10,0.6762170341515819
